epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,608.469,0.34385,0.71244,1.01853,0.84846,0.86157,0.90959,0.83525,0.34206,0.56777,0.75244,0.000557,0.000557,0.000557
58,619.094,0.3383,0.68666,1.02252,0.81112,0.90697,0.91378,0.8445,0.36075,0.63856,0.7898,0.000544625,0.000544625,0.000544625
59,629.668,0.34564,0.69767,1.01563,0.87402,0.90547,0.91968,0.84972,0.37893,0.61553,0.80941,0.00053225,0.00053225,0.00053225
60,640.298,0.3307,0.68189,1.02224,0.85926,0.8689,0.90864,0.8415,0.34996,0.64261,0.78942,0.000519875,0.000519875,0.000519875
61,650.891,0.3214,0.69627,1.01564,0.83175,0.87952,0.9127,0.83916,0.38233,0.68206,0.81432,0.0005075,0.0005075,0.0005075
62,661.492,0.33714,0.6802,1.01954,0.74551,0.90429,0.87113,0.78682,0.38297,0.76343,0.86265,0.000495125,0.000495125,0.000495125
63,672.045,0.31786,0.70166,1.0199,0.78392,0.87002,0.90278,0.8327,0.39486,0.70622,0.86155,0.00048275,0.00048275,0.00048275
64,682.673,0.32641,0.65911,1.0145,0.80367,0.8781,0.9109,0.84892,0.32642,0.75539,0.75821,0.000470375,0.000470375,0.000470375
65,693.339,0.3167,0.69671,1.01756,0.81643,0.85868,0.892,0.83252,0.36107,0.61162,0.79861,0.000458,0.000458,0.000458
66,703.946,0.35443,0.69824,1.04597,0.85885,0.85712,0.91921,0.85942,0.32588,0.59141,0.76967,0.000445625,0.000445625,0.000445625
67,714.572,0.32315,0.65793,1.00903,0.84726,0.8767,0.90601,0.83873,0.31896,0.5982,0.75696,0.00043325,0.00043325,0.00043325
68,725.151,0.33004,0.67507,1.0164,0.83478,0.87035,0.89978,0.78895,0.35625,0.76329,0.78411,0.000420875,0.000420875,0.000420875
69,735.708,0.34248,0.69416,1.02552,0.76644,0.9063,0.92113,0.85567,0.36607,0.71555,0.80855,0.0004085,0.0004085,0.0004085
70,746.303,0.31251,0.6756,0.99968,0.81443,0.86377,0.90397,0.8525,0.32427,0.6725,0.76094,0.000396125,0.000396125,0.000396125
71,756.883,0.31371,0.6433,1.01274,0.80769,0.86465,0.90202,0.84557,0.34857,0.65784,0.77494,0.00038375,0.00038375,0.00038375
72,767.526,0.32722,0.69577,1.02142,0.82047,0.90366,0.91752,0.85727,0.34702,0.64978,0.75331,0.000371375,0.000371375,0.000371375
73,778.1,0.30559,0.65246,1.00362,0.84502,0.90001,0.92418,0.85971,0.36462,0.6234,0.78859,0.000359,0.000359,0.000359
74,788.768,0.29751,0.65023,1.00296,0.74428,0.84375,0.89216,0.81892,0.3983,0.70171,0.82087,0.000346625,0.000346625,0.000346625
75,799.35,0.30855,0.65516,1.00574,0.83874,0.83024,0.89986,0.82255,0.37229,0.72759,0.77874,0.00033425,0.00033425,0.00033425
76,809.971,0.31037,0.63414,1.00111,0.85653,0.85543,0.90976,0.824,0.38255,0.6295,0.82684,0.000321875,0.000321875,0.000321875
77,820.521,0.31261,0.65806,1.00245,0.88403,0.85748,0.91607,0.85458,0.3135,0.71993,0.7367,0.0003095,0.0003095,0.0003095
78,831.069,0.30044,0.61139,0.99533,0.87613,0.8817,0.90841,0.85152,0.36903,0.6261,0.80161,0.000297125,0.000297125,0.000297125
79,841.612,0.30347,0.63141,1.00532,0.83848,0.84956,0.91197,0.86166,0.30877,0.68641,0.73177,0.00028475,0.00028475,0.00028475
80,852.321,0.30478,0.60021,0.99743,0.82249,0.84887,0.89218,0.84734,0.29893,0.64581,0.71129,0.000272375,0.000272375,0.000272375
81,862.922,0.3099,0.61822,0.99881,0.85393,0.86218,0.90698,0.85063,0.28926,0.71609,0.69584,0.00026,0.00026,0.00026
82,873.531,0.31856,0.61191,0.99752,0.88477,0.87745,0.91944,0.86502,0.29721,0.60064,0.71237,0.000247625,0.000247625,0.000247625
83,884.158,0.30048,0.6352,0.99782,0.88278,0.82556,0.92081,0.86147,0.28197,0.64081,0.71321,0.00023525,0.00023525,0.00023525
84,894.744,0.32317,0.63722,1.0176,0.83863,0.87068,0.91135,0.85181,0.28511,0.65238,0.70624,0.000222875,0.000222875,0.000222875
85,905.301,0.28701,0.59363,0.99406,0.89159,0.83089,0.91554,0.85789,0.2973,0.67417,0.72957,0.0002105,0.0002105,0.0002105
86,915.916,0.29063,0.63438,0.98839,0.87896,0.86026,0.92554,0.86432,0.30833,0.62288,0.72909,0.000198125,0.000198125,0.000198125
87,926.452,0.29726,0.61323,1.01045,0.87436,0.86184,0.91302,0.85871,0.33582,0.64551,0.74496,0.00018575,0.00018575,0.00018575
88,937.012,0.30064,0.5818,0.99832,0.83531,0.86955,0.90646,0.86059,0.32592,0.71362,0.75279,0.000173375,0.000173375,0.000173375
89,947.604,0.29015,0.59723,0.99112,0.85594,0.848,0.92661,0.87624,0.31216,0.6794,0.73459,0.000161,0.000161,0.000161
90,958.262,0.28749,0.60119,0.99188,0.8629,0.84672,0.92082,0.86263,0.2865,0.67942,0.71015,0.000148625,0.000148625,0.000148625
91,969.786,0.12208,0.53845,0.97432,0.80745,0.90012,0.91056,0.8456,0.29456,0.75653,0.70659,0.00013625,0.00013625,0.00013625
92,980.448,0.13413,0.48932,0.96976,0.82457,0.9149,0.92202,0.86995,0.34558,0.65693,0.76399,0.000123875,0.000123875,0.000123875
93,991.005,0.12298,0.48189,0.97815,0.84791,0.86884,0.91639,0.85887,0.2977,0.69354,0.72534,0.0001115,0.0001115,0.0001115
94,1001.58,0.11643,0.45645,0.96917,0.80976,0.87942,0.90323,0.85582,0.2943,0.6842,0.70873,9.9125e-05,9.9125e-05,9.9125e-05
95,1012.12,0.11085,0.42527,0.97621,0.82363,0.8572,0.90977,0.8641,0.30376,0.6755,0.73117,8.675e-05,8.675e-05,8.675e-05
96,1022.71,0.11275,0.40138,0.97343,0.8383,0.89778,0.92219,0.87947,0.27948,0.61337,0.69996,7.4375e-05,7.4375e-05,7.4375e-05
97,1033.31,0.1004,0.42142,0.96412,0.84799,0.88363,0.92665,0.88419,0.28214,0.62192,0.70495,6.2e-05,6.2e-05,6.2e-05
98,1043.97,0.10703,0.38904,0.97847,0.78917,0.93957,0.92241,0.87397,0.28381,0.65546,0.70821,4.9625e-05,4.9625e-05,4.9625e-05
99,1054.48,0.10957,0.37682,0.96843,0.79197,0.92322,0.92176,0.87341,0.28236,0.65502,0.70309,3.725e-05,3.725e-05,3.725e-05
100,1065.06,0.09651,0.39345,0.9533,0.79033,0.92744,0.91973,0.87036,0.27753,0.66441,0.70147,2.4875e-05,2.4875e-05,2.4875e-05
